,id_mutation,date_mutation,nature_mutation,valeur_fonciere,adresse_nom_voie,code_commune,nom_commune,nombre_lots,type_local,surface_reelle_bati,nombre_pieces_principales,longitude,latitude,month,year,m2
2698555,2019-1126925,2019-01-09,Vente,152100.0,BD DE LA MARSANGE,77018,Bailly-Romainvilliers,1,Appartement,45.0,2.0,2.818068,48.844633,1,2019,3380.0
2698607,2019-1126951,2019-01-08,Vente,160000.0,AV DES FRENES,77307,Montévrain,1,Appartement,36.0,2.0,2.759956,48.871348,1,2019,4444.444444444444
2698612,2019-1126955,2019-01-09,Vente,197000.0,AV DES FRENES,77307,Montévrain,1,Appartement,45.0,2.0,2.759956,48.871348,1,2019,4377.777777777777
2698647,2019-1126972,2019-01-09,Vente,225000.0,AV DES FRENES,77307,Montévrain,1,Appartement,61.0,3.0,2.759956,48.871348,1,2019,3688.5245901639346
2698650,2019-1126974,2019-01-03,Vente,212000.0,ALL DES MARGUERITES,77449,Serris,1,Appartement,61.0,3.0,2.792258,48.84295,1,2019,3475.409836065574
2698671,2019-1126986,2019-01-03,Vente,85000.0,RUE D AMSTERDAM,77307,Montévrain,1,Appartement,22.0,1.0,2.76756,48.853979,1,2019,3863.6363636363635
2698752,2019-1127018,2019-01-10,Vente,212000.0,RUE DE LA HOUE,77268,Magny-le-Hongre,1,Appartement,57.0,3.0,2.813762,48.870283,1,2019,3719.2982456140353
2698791,2019-1127041,2019-01-15,Vente,98000.0,RUE D AMSTERDAM,77307,Montévrain,1,Appartement,21.0,1.0,2.76756,48.853979,1,2019,4666.666666666667
2698808,2019-1127052,2019-01-17,Vente,155000.0,RUE DES VENVOLLES,77018,Bailly-Romainvilliers,1,Appartement,38.0,2.0,2.820078,48.849716,1,2019,4078.9473684210525
2698917,2019-1127109,2019-01-10,Vente,155000.0,AV DE LA SOCIETE DES NATIONS,77307,Montévrain,1,Appartement,36.0,2.0,2.758432,48.866784,1,2019,4305.555555555556
2698982,2019-1127141,2019-01-10,Vente,240000.0,RUE DU FOSSE MIGNARD,77111,Chessy,1,Appartement,52.0,2.0,2.771584,48.858613,1,2019,4615.384615384615
2698990,2019-1127145,2019-01-16,Vente,247600.0,PASS DU VIEUX CHENE,77111,Chessy,1,Appartement,62.0,3.0,2.761562,48.877172,1,2019,3993.548387096774
2699123,2019-1127214,2019-01-11,Vente,298000.0,RUE DES SCANDINAVES,77449,Serris,1,Appartement,63.0,3.0,2.787996,48.858659,1,2019,4730.158730158731
2699168,2019-1127235,2019-01-21,Vente,299500.0,RUE DE PRAGUE,77307,Montévrain,1,Appartement,93.0,5.0,2.76312,48.854849,1,2019,3220.430107526882
2699281,2019-1127293,2019-01-23,Vente,249900.0,RUE DE PRAGUE,77307,Montévrain,1,Appartement,63.0,3.0,2.7628,48.853901,1,2019,3966.6666666666665
2699312,2019-1127309,2019-01-21,Vente,165251.52,RUE DE PARIS,77307,Montévrain,1,Appartement,47.0,2.0,2.760877,48.857906,1,2019,3515.9897872340425
2699313,2019-1127310,2019-01-24,Vente,96000.0,RUE D AMSTERDAM,77307,Montévrain,1,Appartement,21.0,1.0,2.76756,48.853979,1,2019,4571.428571428572
2699314,2019-1127311,2019-01-21,Vente,157152.8,AV DE LA SOCIETE DES NATIONS,77307,Montévrain,1,Appartement,46.0,2.0,2.760877,48.857906,1,2019,3416.365217391304
2699325,2019-1127316,2019-01-24,Vente,145000.0,RUE DE LA CHARBONNIERE,77307,Montévrain,1,Appartement,34.0,3.0,2.76756,48.853979,1,2019,4264.705882352941
2699329,2019-1127319,2019-01-21,Vente,280704.34,AV DE LA SOCIETE DES NATIONS,77307,Montévrain,1,Appartement,98.0,4.0,2.760877,48.857906,1,2019,2864.3300000000004
2699333,2019-1127321,2019-01-24,Vente,91000.0,RUE DE LA CHARBONNIERE,77307,Montévrain,1,Appartement,22.0,1.0,2.76756,48.853979,1,2019,4136.363636363636
2699365,2019-1127339,2019-01-24,Vente,96000.0,RUE DE LA CHARBONNIERE,77307,Montévrain,1,Appartement,22.0,1.0,2.76756,48.853979,1,2019,4363.636363636364
2699643,2019-1127446,2019-01-30,Vente,183500.0,RUE DE LA CLE DES CHAMPS,77268,Magny-le-Hongre,1,Appartement,65.0,3.0,2.815862,48.867012,1,2019,2823.076923076923
2699656,2019-1127456,2019-01-31,Vente,170000.0,CHE DES VERGERS,77111,Chessy,1,Appartement,46.0,3.0,2.765459,48.87795,1,2019,3695.6521739130435
2699671,2019-1127464,2019-01-21,Vente,236000.0,RUE DES MURONS,77018,Bailly-Romainvilliers,1,Appartement,64.0,3.0,2.827091,48.853814,1,2019,3687.5
2699672,2019-1127465,2019-01-31,Vente,261000.0,RUE DE STOCKHOLM,77307,Montévrain,1,Appartement,63.0,3.0,2.763196,48.858521,1,2019,4142.857142857143
2699750,2019-1127508,2019-01-31,Vente,192500.0,RUE DE ROME,77307,Montévrain,1,Appartement,44.0,2.0,2.760579,48.860731,1,2019,4375.0
2699752,2019-1127509,2019-01-31,Vente,119000.0,RUE DE ROME,77307,Montévrain,1,Appartement,20.0,2.0,2.760579,48.860731,1,2019,5950.0
2699754,2019-1127510,2019-01-31,Vente,237000.0,SEN DU BOIS COQUARD,77111,Chessy,1,Appartement,58.0,3.0,2.773509,48.878871,1,2019,4086.206896551724
2699846,2019-1127561,2019-02-05,Vente,267000.0,AV DES FRENES,77307,Montévrain,1,Appartement,80.0,4.0,2.759956,48.871348,2,2019,3337.5
2699922,2019-1127600,2019-02-04,Vente,247000.0,RUE DE PRAGUE,77307,Montévrain,2,Appartement,65.0,3.0,2.762352,48.854315,2,2019,3800.0
2699932,2019-1127605,2019-02-04,Vente,150000.0,RUE DE LA HOUE,77268,Magny-le-Hongre,1,Appartement,77.0,4.0,2.813857,48.871427,2,2019,1948.051948051948
2699936,2019-1127606,2019-02-04,Vente,170200.0,RUE DU MOULIN A VENT,77268,Magny-le-Hongre,1,Appartement,42.0,2.0,2.813347,48.866869,2,2019,4052.3809523809523
2700000,2019-1127641,2019-02-05,Vente,115500.0,AV DE LA SOCIETE DES NATIONS,77307,Montévrain,1,Appartement,36.0,2.0,2.758432,48.866784,2,2019,3208.3333333333335
2700002,2019-1127642,2019-02-06,Vente,272000.0,RUE DES LABOURS,77268,Magny-le-Hongre,1,Appartement,72.0,3.0,2.811919,48.870305,2,2019,3777.777777777778
2700007,2019-1127645,2019-01-11,Vente,258000.0,AV DES FRENES,77307,Montévrain,1,Appartement,65.0,3.0,2.759956,48.871348,1,2019,3969.230769230769
2700204,2019-1127699,2019-02-07,Vente,308000.0,RUE DE COPENHAGUE,77307,Montévrain,1,Appartement,79.0,4.0,2.763732,48.858075,2,2019,3898.73417721519
