,id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude,month,year,m2
1825882,2020-771809,2020-05-19,1,Vente,278000.0,13.0,,RUE DE TOURAINE,1040,77450.0,77315,Montry,77,,,773150000C0502,,,,,,,,,,,,,0,1.0,Maison,81.0,5.0,S,sols,,,455.0,2.831597,48.881618,5,2020,3432.098765432099
1829716,2020-773400,2020-10-01,1,Vente,219660.0,17.0,,RUE DES HIRONDELLES,0520,77450.0,77315,Montry,77,,,773150000C0327,,,,,,,,,,,,,0,1.0,Maison,84.0,5.0,S,sols,,,744.0,2.827147,48.882353,10,2020,2615.0
1829936,2020-773493,2020-10-15,1,Vente,464600.0,43.0,B,CHE DE SAINT MAUR,1010,77450.0,77315,Montry,77,,,77315000ZB0068,,,,,,,,,,,,,0,1.0,Maison,96.0,5.0,S,sols,,,500.0,2.830565,48.880713,10,2020,4839.583333333333
1829937,2020-773493,2020-10-15,1,Vente,464600.0,43.0,B,CHE DE SAINT MAUR,1010,77450.0,77315,Montry,77,,,77315000ZB0068,,,,,,,,,,,,,0,1.0,Maison,96.0,5.0,AG,terrains d'agrément,PARC,Parc,1432.0,2.830565,48.880713,10,2020,4839.583333333333
1830562,2020-773769,2020-10-19,1,Vente,222500.0,6.0,,ALL DES BRETONS,0160,77450.0,77315,Montry,77,,,773150000C0538,,,,,,,,,,,,,0,1.0,Maison,72.0,4.0,S,sols,,,523.0,2.830645,48.881888,10,2020,3090.277777777778
1831679,2020-774188,2020-11-27,1,Vente,314600.0,26.0,,RUE DE TOURAINE,1040,77450.0,77315,Montry,77,,,773150000C0516,,,,,,,,,,,,,0,1.0,Maison,77.0,4.0,S,sols,,,446.0,2.828771,48.881462,11,2020,4085.714285714286
1831939,2020-774295,2020-11-30,1,Vente,282000.0,23.0,,RUE DE TOURAINE,1040,77450.0,77315,Montry,77,,,773150000C0508,,,,,,,,,,,,,0,1.0,Maison,66.0,4.0,S,sols,,,455.0,2.830404,48.88132,11,2020,4272.727272727273
1832335,2020-774454,2020-12-16,1,Vente,409000.0,1.0,,RUE D AQUITAINE,0070,77450.0,77315,Montry,77,,,773150000C0523,,,,,,,,,,,,,0,1.0,Maison,107.0,5.0,S,sols,,,551.0,2.829732,48.882214,12,2020,3822.429906542056
1834574,2020-775303,2020-01-08,1,Vente,232500.0,9001.0,,AV DES FRENES,0154,77144.0,77307,Montévrain,77,,,773070000C0987,,,962,,,,,,,,,,1,3.0,Dépendance,,0.0,,,,,,2.759956,48.871348,1,2020,
1834575,2020-775303,2020-01-08,1,Vente,232500.0,9001.0,,AV DES FRENES,0154,77144.0,77307,Montévrain,77,,,773070000C0987,,,402,,,,,,,,,,1,3.0,Dépendance,,0.0,,,,,,2.759956,48.871348,1,2020,
